N°;Referencia;Provincia;Distrito;Giro del inmueble;Tipo de calle/vía;Nombre de calle/vía;AASS
171;KFC 145 SAN CARLOS;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;PROCERES DE LA INDEPENDENCIA;Yeisll Diaz
172;KFC 147 VILLARAN;LIMA;SURQUILLO;RESTAURANTE\RESTAURANTE;Avenida;MANUEL VILLARAN ;Yeisll Diaz
173;KFC 150 TUMBES;TUMBES;TUMBES;RESTAURANTE\RESTAURANTE;Avenida;SAN MARTÍN;Sheyda Florindez
174;KFC 151 MOQUEGUA;ILO;ILO;RESTAURANTE\RESTAURANTE;Avenida;CIRCUNVALACIÓN FUNDO EL GRAMADAL;Sheyda Florindez
175;KFC 152 TACNA;TACNA;TACNA;RESTAURANTE\RESTAURANTE;Avenida;CUSCO ;Sheyda Florindez
176;KFC 153 HUARAL;HUARAL;HUARAL;RESTAURANTE\RESTAURANTE;Avenida; CHANCAYE, HUARAL 15202;Sheyda Florindez
177;KFC 154 MEGA PLAZA CHORRILLOS;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;Avenida;ALAMEDA SUR;Katherine Gutierrez
178;KFC 155 PURUCHUCO;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLON;Yeisll Diaz
179;KFC 156 PUNO;PUNO;PUNO;RESTAURANTE\RESTAURANTE;Avenida;LOS INCAS ;Sheyda Florindez
180;KFC 157 ILO;ILO;ILO;RESTAURANTE\RESTAURANTE;Avenida;COSTANERA;Sheyda Florindez
181;KFC 159 OVALO 200 MILLAS;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;ELMER FAUCETT;Mariaelena Quiroz
182;KFC 160 KIO;LIMA;LURIN;RESTAURANTE\RESTAURANTE;Avenida;SUB LOTE 1, FRENTE A LA CARRETERA PANAMERICANA SUR KM. 26.62;Yeisll Diaz
183;KFC 161 PISCO;PISCO;PISCO;RESTAURANTE\RESTAURANTE;Avenida;FERMÍN TANGÜIS;Sheyda Florindez
184;KFC 163 KIOSKO MEGAPLAZA;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;Paola Mija
185;KFC 164 PURUCHUCO;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLON ;Yeisll Diaz
186;KFC 165 KIOSCO PURUCHUCO;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLON;Yeisll Diaz
187;KFC 171 QHATU PLAZA;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;LA ESTRELLA;Yeisll Diaz
188;KFC 173 MPC - MALL PLAZA COMAS;LIMA;COMAS;RESTAURANTE\RESTAURANTE;Avenida;LOS ÁNGELES;Paola Mija
