N°;Referencia;Provincia;Distrito;Giro del inmueble;Tipo de calle/vía;Nombre de calle/vía;AASS
457;TELD 15 OVALO LARCO, TRUJILLO;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;Avenida;VICTOR LARCO ;Sheyda Florindez
458;TELD 16 MALAGUEÑA;LIMA;SAN LUIS;RESTAURANTE\RESTAURANTE;Avenida;CANADÁ;Yeisll Diaz
459;TELD 18 TOTTUS GUIPOR;LIMA;LOS OLIVOS;RESTAURANTE\RESTAURANTE;Avenida;MENDIOLA, ALFREDO ;Paola Mija
460;TELD 19 CHORRILLOS;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;Avenida;DEFENSORES DEL MORRO;Katherine Gutierrez
461;TELD 20 ANTUNEZ DE MAYOLO;LIMA;LOS OLIVOS;RESTAURANTE\RESTAURANTE;Avenida;SANTIA. ANTUNEZ DE MAYOLO ;Paola Mija
462;TELD 22 AREQUIPA;LIMA;LIMA;RESTAURANTE\RESTAURANTE;Jiron;CABO TEODORO CÁRDENAS;Yeisll Diaz
463;TELD 24 LA MOLINA;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;7;Mariaelena Quiroz
464;TELD 025 VENEZUELA;LIMA;BREÑA;RESTAURANTE\RESTAURANTE;Avenida;VENEZUELA;Mariaelena Quiroz
465;TELD 26 SAN JUAN ;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Sin tipo;SAN JUAN;Yeisll Diaz
466;TELD 27 TOMAS VALLE;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;TOMÁS VALLE ;Mariaelena Quiroz
467;TELD 28 SAN CARLOS;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;SAN CARLOS ;Yeisll Diaz
468;TELD 29 JARDINES;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;PROCERES DE LA INDEPENDENCIA;Yeisll Diaz
469;TEL PD30 RP PURUCHUCO;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLON;Yeisll Diaz
470;TEL 1 ESPINAR ;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Calle;2 DE MAYO;Katherine Gutierrez
471;TEL 2 BENAVIDES;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Calle;ALDABAS ;Yeisll Diaz
472;TEL 3 CAMACHO;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO ESTE;Mariaelena Quiroz
473;TEL 5 LIMA;LIMA;LIMA;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS DE PIEROLA;Yeisll Diaz
474;TEL 6 SAN MIGUEL;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Avenida;LA MARINA;Mariaelena Quiroz
475;TEL 7 SAN ISIDRO;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;DOS DE MAYO;Yeisll Diaz
476;TEL 9 LA MOLINA;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;RAÚL FERRERO ;Mariaelena Quiroz
477;TEL 12 CANADÁ;LIMA;LA VICTORIA;RESTAURANTE\RESTAURANTE;Avenida;CANADA;Yeisll Diaz
478;TEL 13 SUCRE;LIMA;PUEBLO LIBRE;RESTAURANTE\RESTAURANTE;Avenida;BOLIVAR;Katherine Gutierrez
479;TEL 14 JOCKEY PLAZA;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO ESTE ;Yeisll Diaz
480;TEL 15 ARMENDARIZ;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;ARMENDARIZ;Katherine Gutierrez
481;TEL 16 JOCKEY ;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO ESTE ;Yeisll Diaz
482;TEL 17 SANTA ANITA;LIMA;SANTA ANITA;RESTAURANTE\RESTAURANTE;Calle;LAS ALONDRAS;Yeisll Diaz
483;TEL 18 SAGA;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;LAS BEGONIAS;Yeisll Diaz
484;TEL 19 LARCO;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;JOSE A. LARCO;Katherine Gutierrez
485;TEL 20 LIMATAMBO;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;ANGAMOS ESTE;Yeisll Diaz
486;TEL 21 LARCO MAR;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;MALECON DE LA RESERVA;Katherine Gutierrez
487;TEL 23 FC MEGA PLAZA;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA ;Paola Mija
488;TEL 24 RBD MEGA PLAZA;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA ;Paola Mija
489;TEL 25 CÁNEPA;LIMA;LA VICTORIA;RESTAURANTE\RESTAURANTE;Jiron;ANTONIO BAZO ;Yeisll Diaz
490;TEL 26 ROYAL PLAZA;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;CARLOS IZAGUIRRE;Paola Mija
491;TEL 28 CHORRILLOS;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;Avenida;PASEO DE LA REPUBLICA;Katherine Gutierrez
492;TEL 29 LIMA SUR CHORRILLOS;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;PROLG.;PASEO DE LA REPUBLICA;Katherine Gutierrez
493;TEL 30 REAL PLAZA CHICLAYO ;CHICLAYO;CHICLAYO;RESTAURANTE\RESTAURANTE;Avenida;MURO Y DIEGO FERRE - MIGUEL DE CERVANTES;Sheyda Florindez
494;TEL 33 COMAS;LIMA;COMAS;RESTAURANTE\RESTAURANTE;Avenida;TUPAC AMARU ;Paola Mija
495;TEL 35 REAL PLAZA TRUJILLO;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;Avenida;CESAR VALLEJO;Sheyda Florindez
496;TEL 36 MALL PLAZA;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;Avenida;AMERICA OESTE;Sheyda Florindez
497;TEL 37 ATOCONGO;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;CIRCUNVALACION ;Yeisll Diaz
498;TEL 39 HUANCAYO;HUANCAYO;HUANCAYO;RESTAURANTE\RESTAURANTE;Avenida;FERROCARRIL C.C. REAL PLAZA;Sheyda Florindez
499;TEL 40 ICA;ICA;ICA;RESTAURANTE\RESTAURANTE;Avenida;SAN MARTIN ;Sheyda Florindez
500;TEL 41 CENTRO CÍVICO;LIMA;LIMA;RESTAURANTE\RESTAURANTE;Avenida;INCA GARCILAZO DE LA VEGA ;Yeisll Diaz
501;TEL 42 OPEN MARSANO;LIMA;SURQUILLO;RESTAURANTE\RESTAURANTE;Avenida;NUEVA TOMAS MARSANO;Yeisll Diaz
502;TEL 43 MERCADERES;AREQUIPA;AREQUIPA;RESTAURANTE\RESTAURANTE;Calle;MERCADERES;Sheyda Florindez
503;TEL 44 OP PIURA;PIURA;PIURA;RESTAURANTE\RESTAURANTE;Avenida;CACERES;Sheyda Florindez
504;TEL 45 HUACHO;HUAURA;HUACHO;RESTAURANTE\RESTAURANTE;Calle;COLON (C.C. PLAZA DEL SOL HUACHO);Sheyda Florindez
505;TEL 46 PQ. ARARUCO;AREQUIPA;AREQUIPA;RESTAURANTE\RESTAURANTE;Avenida;LAMBRAMANI;Sheyda Florindez
506;TEL48 PIURA;PIURA;PIURA;RESTAURANTE\RESTAURANTE;Avenida;ANDRES AVELINO CACERES;Sheyda Florindez
507;TEL 49 PARQUE AGUSTINO;LIMA;EL AGUSTINO;RESTAURANTE\RESTAURANTE;Jiron;ANCASH;Yeisll Diaz
508;TEL 50 EL QUINDE;CAJAMARCA;CAJAMARCA;RESTAURANTE\RESTAURANTE;Jiron;SOR MANUELA GIL;Sheyda Florindez
509;TEL 52 MEGA PLAZA CHIMBOTE;SANTA;CHIMBOTE;RESTAURANTE\RESTAURANTE;Avenida;V. R. H. DE LA TORRE - MEGAPLAZA CHIMBOTE;Sheyda Florindez
510;TEL 53 FOOD COURT AVENTURA STA. ANITA;LIMA;SANTA ANITA;RESTAURANTE\RESTAURANTE;Avenida;CARRETERA CENTRAL;Yeisll Diaz
511;TEL 54 ACDR AVENTURA STA. ANITA;LIMA;SANTA ANITA;RESTAURANTE\RESTAURANTE;Avenida;CARRETERA CENTRAL;Yeisll Diaz
512;TEL 55 CC SAN BORJA;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Jiron;CARPACCIO ;Yeisll Diaz
513;TEL 56 AVENTURA PLAZA TRUJILLO ACDR;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;Avenida;AMERICA OESTE ( C.C.MALL AVEN.PZA.);Sheyda Florindez
514;TEL 57 BELLAVISTA FOOD COURT;CALLAO;BELLAVISTA;RESTAURANTE\RESTAURANTE;Avenida;OSCAR R. BENAVIDES (  MALL AVENTURA PLAZA );Mariaelena Quiroz
515;TEL 58 PLAZA LIMA NORTE;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;Paola Mija
516;TEL 59 REAL PLAZA PIURA;PIURA;PIURA;RESTAURANTE\RESTAURANTE;Avenida;SANCHEZ CERRO;Sheyda Florindez
517;TEL 60 C. C. REAL PZA. HUANUCO;HUANUCO;HUANUCO;RESTAURANTE\RESTAURANTE;Jiron;NDEPENDENCIA;Sheyda Florindez
518;TEL 61 REAL PLAZA JULIACA;SAN ROMAN;JULIACA;RESTAURANTE\RESTAURANTE;Jiron;TUMBES ;Sheyda Florindez
519;TEL 62 EL QUINDE ICA;ICA;ICA;RESTAURANTE\RESTAURANTE;Avenida;DE LOS MAESTROS ( C.C MEGA PLAZA );Sheyda Florindez
520;TEL 63 OPEN PZA. PUCALLPA;CORONEL PORTILLO;CALLERIA;RESTAURANTE\RESTAURANTE;Avenida;CENTENARIO;Sheyda Florindez
521;TEL 64 C.C. SALAVERRY;LIMA;JESUS MARIA;RESTAURANTE\RESTAURANTE;Avenida;GRAL. FELIPE SALAVERRY;Mariaelena Quiroz
522;TEL 65 -REAL PLAZA PUCALLPA;CORONEL PORTILLO;CALLERIA;RESTAURANTE\RESTAURANTE;Avenida;CENTENARIO ( C.C. RP PUCALLPA );Sheyda Florindez
523;TEL 66 C.C. MALL DEL SUR;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;PEDRO MIOTA;Yeisll Diaz
524;TEL 67 OPEN PLAZA  HUANCAYO;HUANCAYO;HUANCAYO;RESTAURANTE\RESTAURANTE;Avenida;FERROCARRIL;Sheyda Florindez
525;TEL 68 REAL PLAZA AREQUIPA ;AREQUIPA;AREQUIPA;RESTAURANTE\RESTAURANTE;Avenida;EJERCITO;Sheyda Florindez
526;TEL 69 MINKA CALLAO ;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;ARGENTINA - MINKA;Mariaelena Quiroz
527;TEL 70 TACNA;TACNA;TACNA;RESTAURANTE\RESTAURANTE;Avenida;CERCADO CUZCO;Sheyda Florindez
528;TEL 71 REAL PLAZA PRO ;LIMA;SAN MARTIN DE PORRES;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;Paola Mija
529;TEL PH72 PLAZA VEA VES;LIMA;VILLA EL SALVADOR;RESTAURANTE\RESTAURANTE;Avenida;PLAZA CENTER VILLA EL SALVADOR ;Yeisll Diaz
530;TEL 73 VILLA MARÍA DEL TRIUNFO;LIMA;VILLA MARIA DEL TRIUNFO;RESTAURANTE\RESTAURANTE;Avenida;PACHACUTEC ;Yeisll Diaz
531;TEL 74 PORONGOCHE;AREQUIPA;AREQUIPA;RESTAURANTE\RESTAURANTE;Avenida;PORONGOCHE ;Sheyda Florindez
532;TEL 76 PURUCHUCO;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLON;Yeisll Diaz
533;PH077 PSM PLAZA SAN MIGUEL;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Avenida;CENTRO COMERCIAL PLAZA SAN MIGUEL;Mariaelena Quiroz
534;PH 78 TUMBES;TUMBES;TUMBES;RESTAURANTE\RESTAURANTE;Calle;CALLE SAN MARTIN;Sheyda Florindez
535;PH079  MALL AVENTURA CHICLAYO;CHICLAYO;CHICLAYO;RESTAURANTE\RESTAURANTE;Avenida;PANAMERICANA, CC MALL AVENTURA CHICLAYO;Sheyda Florindez
536;PH080 MPC MALL PLAZA COMAS;LIMA;COMAS;RESTAURANTE\RESTAURANTE;Avenida;LOS ÁNGELES;Paola Mija
537;PH 81 CAYMA ;AREQUIPA;AREQUIPA;RESTAURANTE\RESTAURANTE;Avenida;EJERCITO;Sheyda Florindez
538;PH 83 REAL PLAZA CUSCO;CUSCO;CUSCO;RESTAURANTE\RESTAURANTE;Avenida;COLLASUYO, CENTRO COMERCIAL REAL PLAZA;Sheyda Florindez
542;PD 033 HEROES;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;LOS HEROES;Gabriela Varias
543;PH 086 TERMINAL TERRESTRE INDEPENDENCIA;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;GERARDO UNGER;Paola Mija
544;PH 087 CANTA CALLAO;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;CANTA CALLAO;Mariaelena Quiroz
545;PHD31 PRO HABICH;LIMA;SAN MARTIN DE PORRES;RESTAURANTE\RESTAURANTE;Avenida;EDUARDO HABICH;Paola Mija
546;PH84 MALL AVENTURA SJL;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;LURIGANCHO;Yeisll Diaz
547;STARBUCKS 129 LARCO;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;JOSE LARCO;Gabriela Varias
548;STARBUCKS 130 WONG GARDENIAS;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO BENAVIDES;Gabriela Varias
549;STARBUCKS 134 MALL AVENTURA SANTA ANITA 2;LIMA;SANTA ANITA;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLON;Gabriela Varias
550;STARBUCKS 137 ROYAL PLAZA;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;CARLOS IZAGUIRRE;Gabriela Varias
551;STARBUCKS 131 MALL AVENTURA IQUITOS;MAYNAS;IQUITOS;RESTAURANTE\RESTAURANTE;Avenida;CAPITAN JOSE ABELARDO QUIÑONES;Sheyda Florindez
552;KFC 197 IL REVOLUCION;LIMA;VILLA EL SALVADOR;RESTAURANTE\RESTAURANTE;Avenida;REVOLUCIÓN;Yeisll Diaz
553;KFC 198 CERES;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;PROLONGACIÓN JAVIER PRADO;Yeisll Diaz
554;KFC 194 PRÓCERES DE HUANDOY;LIMA;LOS OLIVOS;RESTAURANTE\RESTAURANTE;Avenida;LOS PROCERES;Paola Mija
555;BURGER KING 89 KIOSKO SJL;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;LURIGANCHO;Ereni Valdivia
558;CC CONDADO SB002;PICHINCHA;;RESTAURANTE\RESTAURANTE;Avenida;MARISCAL SUCRE Y JOHN F. KENNEDY;Sheyda Florindez
559;CC SCALA SB001 - PASAJE EL VALLE DE CUMBAYÁ;CUMBAYÁ;;RESTAURANTE\RESTAURANTE;Avenida;INTEROCEANICA;Sheyda Florindez
560;RANSA QUITO - CCI;;;RESTAURANTE\RESTAURANTE;Avenida;RIO AMAZONAS;Sheyda Florindez
562;STARBUCKS CC CCI;;;RESTAURANTE\RESTAURANTE;Sin tipo;NACIONES UNIDAD;Sheyda Florindez
563;STARBUCKS MALL JARDIN;;;RESTAURANTE\RESTAURANTE;Calle;RIO AMAZONAS;Sheyda Florindez
564;KFC 201 PASEO CENTRAL ;AREQUIPA;JACOBO HUNTER;RESTAURANTE\RESTAURANTE;Avenida;ARTURO IBANEZ;Sheyda Florindez
565;KFC202 - CENTRO COMERCIAL METRO DE CHILCA;HUANCAYO;CHILCA;RESTAURANTE\RESTAURANTE;Avenida;9 DE DICIEMBRE;Sheyda Florindez
566;KFC 208 GAMA PLAZA;LIMA;LA VICTORIA;RESTAURANTE\RESTAURANTE;Jiron ;AGUSTIN GAMARRA ;Yeisll Diaz
567;KFC 207 METRO FAUCETT;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Avenida;VENEZUELA ;Mariaelena Quiroz
568;KFC199 - CENTRO COMERCIAL METRO DE CHACLACAYO;LIMA;CHACLACAYO;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLON;Yeisll Diaz
569;KFC 205 IL AREQUIPA CENTER ;AREQUIPA;CERRO COLORADO;RESTAURANTE\RESTAURANTE;Avenida;AVIACION;Sheyda Florindez
570;STARBUCKS QUICENTRO;;;RESTAURANTE\RESTAURANTE;Avenida;NACIONES UNIDAS;Sheyda Florindez
571;CH30 MALL PLAZA COMAS;LIMA;COMAS;RESTAURANTE\RESTAURANTE;Avenida;LOS ÁNGELES;Sara Cordero
572;STARBUCKS 141 MALL PLAZA TRUJILLO II;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;Avenida;AMERICA OESTE;Sheyda Florindez
573;STARBUCKS 139 - SALIDAS INTERNACIONALES 3ER PISO AEROPUERTO INTERNACIONAL JORGE CHAVEZ;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;NESTOR GAMBETTA;Gabriela Varias
574;STARBUCKS 138 - SALIDAS NACIONALES 3ER PISO AEROPUERTO INTERNACIONAL JORGE CHAVEZ;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;NESTOR GAMBETTA;Gabriela Varias
575;CH6 - CENTRO COMERCIAL LARCOMAR;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;MALECÓN DE LA RESERVA;Sara Cordero
583;"PH 088 LAP
NUEVO AEROPUERTO JORGE CHAVEZ";CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;NESTOR GAMBETA;Mariaelena Quiroz
584;KFC 203 LLEGADAS NACIONALES LAP - NUEVO AEROPUERTO JORGE CHAVEZ;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;NESTOR GAMBETA;Mariaelena Quiroz
585;KFC 200 CARABAYLLO;LIMA;CARABAYLLO;RESTAURANTE\RESTAURANTE;Avenida;TUPAC AMARU;Paola Mija
586;STARBUCKS 136 - LLEGADAS 1ER PISO AEROPUERTO INTERNACIONAL JORGE CHAVEZ;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;NESTOR GAMBETTA;Gabriela Varias
589;SB 117 REAL PLAZA HUÁNUCO;HUANUCO;HUANUCO;RESTAURANTE\RESTAURANTE;Jiron;INDEPENDENCIA ;Sheyda Florindez
590;KFC 204 CC MOLINA PLAZA ;LIMA ;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida ;RAUL FERRERO ;Mariaelena Quiroz
591;KFC 213 TOTTUS SULLANA;SULLANA;SULLANA;RESTAURANTE\RESTAURANTE;Avenida;PANAMERICANA;Sheyda Florindez
592;KFC 210 PORTAL PIZARRO;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;Jiron;PIZARRO;Sheyda Florindez
593;SB 144 PORTAL PIZARRO;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;JIRON ;PIZARRO;Sheyda Florindez
594;KFC 206 - PUNTA MAR;LIMA;PUNTA HERMOSA;RESTAURANTE\RESTAURANTE;Carretera;ANTIGUA PANAMERICANA SUR;Yeisll Diaz
595;KFC 209 - MEGA PLAZA ICA II;ICA;ICA;RESTAURANTE\RESTAURANTE;Avenida;LOS MAESTROS;Sheyda Florindez
596;KFC 219 - MALL DEL SUR 3;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;LOS LIRIOS;Yeisll Diaz
597;KFC 221 - MEGA PLAZA VES 2;LIMA;VILLA EL SALVADOR ;RESTAURANTE\RESTAURANTE;Avenida;PRIMERO DE MAYO ;Yeisll Diaz
598;KFC 196 - METRO BREÑA;LIMA;BREÑA;RESTAURANTE\RESTAURANTE;Avenida;ALFONSO UGARTE;Mariaelena Quiroz
599;KFC 212 - IL REAL PLAZA CUSCO ;CUSCO;CUSCO;RESTAURANTE\RESTAURANTE;Avenida;COLLASUYO;Sheyda Florindez
600;KFC 222 - PATIO CENCOSUD LA MOLINA;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;RAUL FERRERO;Mariaelena Quiroz
