Referencia;Provincia;Distrito;TipoVia;NombreVia;AASS
TEL 60 C. C. REAL PZA. HUANUCO;HUANUCO;HUANUCO;Jiron;NDEPENDENCIA;Sheyda Florindez
TEL 61 REAL PLAZA JULIACA;SAN ROMAN;JULIACA;Jiron;TUMBES ;Sheyda Florindez
TEL 62 EL QUINDE ICA;ICA;ICA;Avenida;DE LOS MAESTROS ( C.C MEGA PLAZA );Sheyda Florindez
TEL 63 OPEN PZA. PUCALLPA;CORONEL PORTILLO;CALLERIA;Avenida;CENTENARIO;Sheyda Florindez
TEL 64 C.C. SALAVERRY;LIMA;JESUS MARIA;Avenida;GRAL. FELIPE SALAVERRY;Mariaelena Quiroz
TEL 65 -REAL PLAZA PUCALLPA;CORONEL PORTILLO;CALLERIA;Avenida;CENTENARIO ( C.C. RP PUCALLPA );Sheyda Florindez
TEL 66 C.C. MALL DEL SUR;LIMA;SAN JUAN DE MIRAFLORES;Avenida;PEDRO MIOTA;Yeisll Diaz
TEL 67 OPEN PLAZA  HUANCAYO;HUANCAYO;HUANCAYO;Avenida;FERROCARRIL;Sheyda Florindez
TEL 68 REAL PLAZA AREQUIPA ;AREQUIPA;AREQUIPA;Avenida;EJERCITO;Sheyda Florindez
TEL 69 MINKA CALLAO ;CALLAO;CALLAO;Avenida;ARGENTINA - MINKA;Mariaelena Quiroz
TEL 70 TACNA;TACNA;TACNA;Avenida;CERCADO CUZCO;Sheyda Florindez
TEL 71 REAL PLAZA PRO ;LIMA;SAN MARTIN DE PORRES;Avenida;ALFREDO MENDIOLA;Paola Mija
TEL PH72 PLAZA VEA VES;LIMA;VILLA EL SALVADOR;Avenida;PLAZA CENTER VILLA EL SALVADOR ;Yeisll Diaz
TEL 73 VILLA MARÍA DEL TRIUNFO;LIMA;VILLA MARIA DEL TRIUNFO;Avenida;PACHACUTEC ;Yeisll Diaz
TEL 74 PORONGOCHE;AREQUIPA;AREQUIPA;Avenida;PORONGOCHE ;Sheyda Florindez
TEL 76 PURUCHUCO;LIMA;ATE;Avenida;NICOLAS AYLLON;Yeisll Diaz
PH077 PSM PLAZA SAN MIGUEL;LIMA;SAN MIGUEL;Avenida;CENTRO COMERCIAL PLAZA SAN MIGUEL;Mariaelena Quiroz
PH 78 TUMBES;TUMBES;TUMBES;Calle;CALLE SAN MARTIN;Sheyda Florindez
PH079  MALL AVENTURA CHICLAYO;CHICLAYO;CHICLAYO;Avenida;PANAMERICANA, CC MALL AVENTURA CHICLAYO;Sheyda Florindez
PH080 MPC MALL PLAZA COMAS;LIMA;COMAS;Avenida;LOS ÁNGELES;Paola Mija
PH 81 CAYMA ;AREQUIPA;AREQUIPA;Avenida;EJERCITO;Sheyda Florindez
PH 83 REAL PLAZA CUSCO;CUSCO;CUSCO;Avenida;COLLASUYO, CENTRO COMERCIAL REAL PLAZA;Sheyda Florindez
PD 033 HEROES;LIMA;SAN JUAN DE MIRAFLORES;Avenida;LOS HEROES;Gabriela Varias
PH 086 TERMINAL TERRESTRE INDEPENDENCIA;LIMA;INDEPENDENCIA;Avenida;GERARDO UNGER;Paola Mija
PH 087 CANTA CALLAO;CALLAO;CALLAO;Avenida;CANTA CALLAO;Mariaelena Quiroz
PHD31 PRO HABICH;LIMA;SAN MARTIN DE PORRES;Avenida;EDUARDO HABICH;Paola Mija
PH84 MALL AVENTURA SJL;LIMA;SAN JUAN DE LURIGANCHO;Avenida;LURIGANCHO;Yeisll Diaz
STARBUCKS 129 LARCO;LIMA;MIRAFLORES;Avenida;JOSE LARCO;Gabriela Varias
STARBUCKS 130 WONG GARDENIAS;LIMA;SANTIAGO DE SURCO;Avenida;ALFREDO BENAVIDES;Gabriela Varias
STARBUCKS 134 MALL AVENTURA SANTA ANITA 2;LIMA;SANTA ANITA;Avenida;NICOLAS AYLLON;Gabriela Varias
STARBUCKS 137 ROYAL PLAZA;LIMA;INDEPENDENCIA;Avenida;CARLOS IZAGUIRRE;Gabriela Varias
STARBUCKS 131 MALL AVENTURA IQUITOS;MAYNAS;IQUITOS;Avenida;CAPITAN JOSE ABELARDO QUIÑONES;Sheyda Florindez
KFC 197 IL REVOLUCION;LIMA;VILLA EL SALVADOR;Avenida;REVOLUCIÓN;Yeisll Diaz
KFC 198 CERES;LIMA;ATE;Avenida;PROLONGACIÓN JAVIER PRADO;Yeisll Diaz
KFC 194 PRÓCERES DE HUANDOY;LIMA;LOS OLIVOS;Avenida;LOS PROCERES;Paola Mija
BURGER KING 89 KIOSKO SJL;LIMA;SAN JUAN DE LURIGANCHO;Avenida;LURIGANCHO;Ereni Valdivia
CC CONDADO SB002;PICHINCHA;;Avenida;MARISCAL SUCRE Y JOHN F. KENNEDY;Sheyda Florindez
CC SCALA SB001 - PASAJE EL VALLE DE CUMBAYÁ;CUMBAYÁ;;Avenida;INTEROCEANICA;Sheyda Florindez
RANSA QUITO - CCI;;;Avenida;RIO AMAZONAS;Sheyda Florindez
STARBUCKS CC CCI;;;Sin tipo;NACIONES UNIDAD;Sheyda Florindez
STARBUCKS MALL JARDIN;;;Calle;RIO AMAZONAS;Sheyda Florindez
KFC 201 PASEO CENTRAL ;AREQUIPA;JACOBO HUNTER;Avenida;ARTURO IBANEZ;Sheyda Florindez
KFC202 - CENTRO COMERCIAL METRO DE CHILCA;HUANCAYO;CHILCA;Avenida;9 DE DICIEMBRE;Sheyda Florindez
KFC 208 GAMA PLAZA;LIMA;LA VICTORIA;Jiron ;AGUSTIN GAMARRA ;Yeisll Diaz
KFC 207 METRO FAUCETT;LIMA;SAN MIGUEL;Avenida;VENEZUELA ;Mariaelena Quiroz
KFC199 - CENTRO COMERCIAL METRO DE CHACLACAYO;LIMA;CHACLACAYO;Avenida;NICOLAS AYLLON;Yeisll Diaz
KFC 205 IL AREQUIPA CENTER ;AREQUIPA;CERRO COLORADO;Avenida;AVIACION;Sheyda Florindez
STARBUCKS QUICENTRO;;;Avenida;NACIONES UNIDAS;Sheyda Florindez
CH30 MALL PLAZA COMAS;LIMA;COMAS;Avenida;LOS ÁNGELES;Sara Cordero
STARBUCKS 141 MALL PLAZA TRUJILLO II;TRUJILLO;TRUJILLO;Avenida;AMERICA OESTE;Sheyda Florindez
STARBUCKS 139 - SALIDAS INTERNACIONALES 3ER PISO AEROPUERTO INTERNACIONAL JORGE CHAVEZ;CALLAO;CALLAO;Avenida;NESTOR GAMBETTA;Gabriela Varias
STARBUCKS 138 - SALIDAS NACIONALES 3ER PISO AEROPUERTO INTERNACIONAL JORGE CHAVEZ;CALLAO;CALLAO;Avenida;NESTOR GAMBETTA;Gabriela Varias
CH6 - CENTRO COMERCIAL LARCOMAR;LIMA;MIRAFLORES;Avenida;MALECÓN DE LA RESERVA;Sara Cordero
"PH 088 LAP
NUEVO AEROPUERTO JORGE CHAVEZ";CALLAO;CALLAO;Avenida;NESTOR GAMBETA;Mariaelena Quiroz
KFC 203 LLEGADAS NACIONALES LAP - NUEVO AEROPUERTO JORGE CHAVEZ;CALLAO;CALLAO;Avenida;NESTOR GAMBETA;Mariaelena Quiroz
KFC 200 CARABAYLLO;LIMA;CARABAYLLO;Avenida;TUPAC AMARU;Paola Mija
STARBUCKS 136 - LLEGADAS 1ER PISO AEROPUERTO INTERNACIONAL JORGE CHAVEZ;CALLAO;CALLAO;Avenida;NESTOR GAMBETTA;Gabriela Varias
