Referencia;Provincia;Distrito;TipoVia;NombreVia;AASS
SBUX 91 KIO;LIMA;LURIN;Avenida;FRENTE A LA CARRETERA PANAMERICANA SUR;Gabriela Varias
SBUX 92 MALL DEL SUR 2;LIMA;SAN JUAN DE MIRAFLORES;Avenida;PEDRO MIOTA;Gabriela Varias
SBUX 93 VILLA MARÍA DEL TRIUNFO;LIMA;VILLA MARIA DEL TRIUNFO;Avenida;PACHACUTEC ;Gabriela Varias
SBUX 94 MATELLINI;LIMA;CHORRILLOS;Avenida;PROLONGACIÓN PASEO DE LA REPÚBLICA ;Gabriela Varias
SBUX 95 PLAZA SOL DE ICA ;ICA;ICA;Avenida;SAN MARTÍN;Sheyda Florindez
SBUX 97 OVALO BOLOGNESI  ;LIMA;MIRAFLORES;Avenida;JIRÓN BOLOGNESI;Gabriela Varias
SBUX 98 CLINICA INTERNACIONAL SAN BORJA;LIMA;SAN BORJA;Avenida;GUARDIA CIVIL;Gabriela Varias
SBUX 99 PEDRO VENTURO ;LIMA;SANTIAGO DE SURCO;Avenida;PEDRO VENTURO ;Gabriela Varias
SBUX 100 UPC VILLA ;LIMA;CHORRILLOS;Avenida;ALAMEDA SAN MARCOS;Gabriela Varias
SBUX 105 LA MAR;LIMA;MIRAFLORES;Avenida;MARISCAL LA MAR;Gabriela Varias
SBUX 101 ATOCONGO;LIMA;SAN JUAN DE MIRAFLORES;Avenida;CIRCUNVALACION;Gabriela Varias
SBUX 103 LAP2 AEROPUERTO;CALLAO;CALLAO;Avenida;AEROPUERTO JORGE CHAVEZ AREA ESPIGON NACIONAL;Gabriela Varias
SBUX 106 METRO CANADA;LIMA;LA VICTORIA;Avenida;CANADÁ;Gabriela Varias
SBUX 107 CLINICA DELGADO;LIMA;MIRAFLORES;Avenida;ANGAMOS OESTE;Gabriela Varias
SBUX 108 PLAZA LIMA NORTE 2;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Gabriela Varias
SBUX 109 JOCKEY PLAZA 2;LIMA;SANTIAGO DE SURCO;Avenida;JAVIER PRADO ESTE ;Gabriela Varias
SBUX 110 JACARANDA;LIMA;SANTIAGO DE SURCO;Avenida;JACARANDA;Gabriela Varias
SBUX 111 PATIO PANORAMA;LIMA;SANTIAGO DE SURCO;Avenida;CIRCUNVALACIÓN DEL CLUB GOLF LOS INCAS ;Gabriela Varias
SBUX 112 PURUCHUCO 1;LIMA;ATE;Avenida;NICOLAS AYLLON;Gabriela Varias
SBUX 113 PURUCHUCO 2;LIMA;ATE;Avenida;NICOLAS AYLLON ;Gabriela Varias
SBUX 115 RIPLEY JOCKEY;LIMA;SANTIAGO DE SURCO;Avenida;JAVIER PRADO ESTE;Gabriela Varias
SBUX 116 AAP AQP - AREQUIPA;AREQUIPA;CERRO COLORADO;Avenida;AEROPUERTO INTERNACIONAL TNTE. FAP “ALFREDO RODRÍGUEZ BALLÓN”;Sheyda Florindez
SBUX 119 MALL AVENTURA CHICLAYO;CHICLAYO;CHICLAYO;Avenida;PANAMERICANA;Sheyda Florindez
SBUX 118 WONG SAN MIGUEL ;LIMA;SAN MIGUEL;Avenida;LA MARINA ;Gabriela Varias
SBUX 122 WONG MIRAFLORES;LIMA;MIRAFLORES;Avenida;ALFREDO BENAVIDES;Gabriela Varias
SBUX 121 MALL PLAZA COMAS;LIMA;COMAS;Avenida;LOS ANGELES;Gabriela Varias
SBUX CLÍNICA SAN FELIPE;LIMA;JESUS MARIA;Avenida;GREGORIO ESCOBEDO;Gabriela Varias
SBUX123 CAMACHO;LIMA;LA MOLINA;Avenida;LOS FRUTALES;Gabriela Varias
SB126 KIOSKO CENCOSUD;LIMA;LA MOLINA;Avenida;RAUL FERRERO  ;Gabriela Varias
SBUX128 PISO 3 MA SJL;LIMA;SAN JUAN DE MIRAFLORES;Avenida;LURIGANCHO;Gabriela Varias
SBUX127 PISO 2 MA SJL;LIMA;SAN JUAN DE LURIGANCHO;Avenida;LURIGANCHO;Gabriela Varias
SBUX132 JULIACA ;SAN ROMAN;JULIACA;Jiron;TUMBES  ;Sheyda Florindez
SB133 EJERCITO;LIMA;SAN ISIDRO;Avenida;AUGUSTO PEREZ ANIBAL ;Gabriela Varias
STARBUCKS 125 TORRE DEL PARQUE;LIMA;SAN ISIDRO;Calle;LAS BEGONIAS;Gabriela Varias
STARBUCKS 135 PLACITA VES;LIMA;VILLA EL SALVADOR;Sin tipo;PARQUE INDUSTRIAL;Gabriela Varias
MT 01 AV. SANTA CRUZ;LIMA;MIRAFLORES;Avenida;SANTA CRUZ ;Sara Cordero
MT 03 C.C. SALAVERRY;LIMA;JESUS MARIA;Avenida;GENERAL FELIPE SALAVERRY;Sara Cordero
MT 02 C.C. EL PASO 28 DE JULIO;LIMA;MIRAFLORES;Avenida;28 DE JULIO ;Sara Cordero
MT 04 SAN BORJA;LIMA;SAN BORJA;Avenida;CALLE MORELLI;Sara Cordero
MT 05 CHACARILLA ;LIMA;SAN BORJA;Avenida;CALLE MATAMOROS;Sara Cordero
MT 06 SAN MIGUEL;LIMA;SAN MIGUEL;Calle; MANTARO CDRA 3;Sara Cordero
MT 08 C.C. JOCKEY PLAZA;LIMA;SANTIAGO DE SURCO;Avenida;JAVIER PRADO ESTE ;Sara Cordero
MT 09 PURUCHUCO ATE VITARTE;LIMA;ATE;Avenida;NICOLAS AYLLON;Sara Cordero
MT 07 MEGA PLAZA;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Sara Cordero
MT11 GARDENIAS;LIMA;SANTIAGO DE SURCO;Avenida;ALFREDO BENAVIDES ;Sara Cordero
MT12 DP DOS DE MAYO;LIMA;SAN ISIDRO;Avenida;DOS DE MAYO;Sara Cordero
MT13 SUCRE;LIMA;PUEBLO LIBRE;Avenida;JR. PASEO LIBERTAD;Katherine Gutierrez
MT016 PLAZA NORTE;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Sara Cordero
WANTA MALL DEL SUR;LIMA;SAN JUAN DE MIRAFLORES;Avenida;LOS LIRIOS;Sara Cordero
WANTA 02 MA SJL;LIMA;SAN JUAN DE LURIGANCHO;Avenida;LURIGANCHO;Sara Cordero
PB 1 OVALO GUTIERREZ ;LIMA;MIRAFLORES;Avenida;SANTA CRUZ;Gabriela Varias
PB 3 DIAGONAL ;LIMA;MIRAFLORES;Avenida;MCAL. OSCAR R. BENAVIDES;Gabriela Varias
PB 4 CC JOCKEY PLAZA ;LIMA;SANTIAGO DE SURCO;Avenida;JAVIER PRADO ESTE;Gabriela Varias
PB 7 EL POLO;LIMA;SANTIAGO DE SURCO;Avenida;EL POLO;Gabriela Varias
PB 5 OPEN PLAZA ANGAMOS;LIMA;SURQUILLO;Avenida;NUEVA TOMAS MARSANO;Gabriela Varias
PB 6 CC REAL PLAZA PRIMAVERA;LIMA;SAN BORJA;Avenida;ANGAMOS ESTE ( C.C. REAL PLAZA PRIMAVERA);Gabriela Varias
PB 8 CENTRO CIVICO;LIMA;LIMA;Avenida;INCA GARCILAZO DE LA VEGA;Gabriela Varias
PB 9 MEGA PLAZA;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA ;Gabriela Varias
PB 11 AVENTURA STA. ANITA;LIMA;SANTA ANITA;Avenida;CARRETERA CENTRAL;Gabriela Varias
PB 12 AVENTURA TRUJILLO;TRUJILLO;TRUJILLO;Avenida;AMERICA OESTE;Sheyda Florindez
PB 13 CC SAN BORJA;LIMA;SAN BORJA;Avenida;JAVIER PRADO ESTE ;Gabriela Varias
PB 15 PZA. LIMA NORTE;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Gabriela Varias
PB 16 REAL PZA. PIURA;PIURA;PIURA;Avenida;SANCHEZ CERRO;Sheyda Florindez
PB 17 CC LARCOMAR;LIMA;MIRAFLORES;Avenida;LARCOMAR, MALECÓN DE LA RESERVA ;Gabriela Varias
PB 18 BREA Y PARIÑAS;LIMA;SANTIAGO DE SURCO;Avenida;CAMINOS DEL INCA ;Gabriela Varias
PB 20 REAL PZA. CUSCO;CUSCO;CUSCO;Avenida;AVENIDA COLLASUYO ;Sheyda Florindez
PB 19 SALAVERRY;LIMA;JESUS MARIA;Avenida;GRAL. FELIPE SALAVERRY;Gabriela Varias
PB 23 PLAZA SAN MIGUEL;LIMA;SAN MIGUEL;Avenida;LA MARINA;Gabriela Varias
PB 24 MALL DEL SUR ;LIMA;SAN JUAN DE MIRAFLORES;Avenida;PEDRO MIOTA;Gabriela Varias
PB25 PURUCHUCO;LIMA;ATE;Avenida;NICOLAS AYLLÓN;Gabriela Varias
BK 2 LARCO;LIMA;MIRAFLORES;Avenida;JOSE A. LARCO ;Ereni Valdivia
BK 7 PEZET;LIMA;SAN ISIDRO;Avenida;GRAL. JUAN ANTONIO PEZET;Ereni Valdivia
BK 8 C.C. MOLINA PLAZA;LIMA;LA MOLINA;Avenida;RAÚL FERRERO REBAGLIATI;Ereni Valdivia
BK 10 C.C. JOCKEY PLAZA FC;LIMA;SANTIAGO DE SURCO;Avenida;AV JAVIER PARDO ESTE;Ereni Valdivia
BK 12 SAGA FALABELLA FC;LIMA;SAN ISIDRO;Avenida;LAS BEGONIAS;Ereni Valdivia
BK 14 C.C. REAL PLAZA PRIMAVERA;LIMA;SAN BORJA;Avenida;ANGAMOS ESTE;Ereni Valdivia
BK 15 C.C. LARCO MAR;LIMA;MIRAFLORES;Avenida;MALECON DE LA RESERVA;Ereni Valdivia
BK 17 C.C. MEGA PLAZA INDEP.;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA ;Ereni Valdivia
BK 18 C.C. PLAZA LIMA SUR;LIMA;CHORRILLOS;Avenida;PRLG. PASEO DE LA REPUBLICA;Ereni Valdivia
BK 22 HUANCAYO;HUANCAYO;HUANCAYO;Avenida;FERROCARRIL;Sheyda Florindez
BK 24 C.C. CENTRO CIVICO;LIMA;LIMA;Avenida;INCA GARCILAZO DE LA VEGA;Ereni Valdivia
BK 25 SOL DE ICA;ICA;ICA;Avenida;SAN MARTIN;Sheyda Florindez
BK 26 OPEN PLAZA MARSANO;LIMA;SURQUILLO;Avenida;NUEVA TOMAS MARSANO;Ereni Valdivia
BK 27 KIOSKO ICA;ICA;ICA;Plaza;SAN MARTIN ;Sheyda Florindez
BK 28 KIOSKO MARSANO;LIMA;SURQUILLO;Avenida;NUEVA TOMAS MARSANO;Ereni Valdivia
BK 31 MERCADERES;AREQUIPA;AREQUIPA;Avenida;CALLE MERCADERES;Sheyda Florindez
BK 32 PIURA;PIURA;CASTILLA;Avenida;CACERES;Sheyda Florindez
BK 33 KIOSKO PIURA;PIURA;CASTILLA;Avenida;AVELINO CACERES;Sheyda Florindez
BK 35 KIOSKO CC CENTRO CIVICO;LIMA;LIMA;Avenida;INCA GARCILAZO DE LA VEGA;Ereni Valdivia
BK 38 KIOSKO HUANCAYO;HUANCAYO;HUANCAYO;Avenida;FERROCARRIL;Sheyda Florindez
BK 39 CAMACHO GRIFO REPSOL;LIMA;LA MOLINA;Avenida;LOS FRUTALES;Ereni Valdivia
BK 40 ROYAL PLAZA;LIMA;INDEPENDENCIA;Avenida;CARLOS IZAGUIRRE;Ereni Valdivia
BK 41 KIOSKO REAL PLAZA PRIMAVERA;LIMA;SAN BORJA;Avenida;ANGAMOS ESTE;Ereni Valdivia
BK 42 KIOSKO MERCADERES;AREQUIPA;AREQUIPA;Calle;MERCADERES;Sheyda Florindez
BK 44 KIOSKO MEGA PLAZA;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Ereni Valdivia
BK 45 KIOSKO TOTTUS JOCKEY PLAZA;LIMA;SANTIAGO DE SURCO;Avenida;JAVIER PRADO ESTE ;Ereni Valdivia
BK 48 LA MERCED;LIMA;MIRAFLORES;Avenida;ALFREDO BENAVIDES;Ereni Valdivia
BK 49 CAVENECIA;LIMA;MIRAFLORES;Avenida;EMILIO CAVENECIA;Ereni Valdivia
BK 51 AVENTURA PLAZA STA. ANITA;LIMA;SANTA ANITA;Avenida;CARRETERA CENTRAL ;Ereni Valdivia
BK52 MEGA PLAZA CHIMBOTE;SANTA;CHIMBOTE;Alameda;VÍCTOR RAÚL HAYA DE LA TORRE;Sheyda Florindez
BK 54 CC SAN BORJA FOOD COURT;LIMA;SAN BORJA;Avenida;CARPACCIO;Ereni Valdivia
BK 56 KIOSKO MEGA PLAZA CHIMBOTE;SANTA;CHIMBOTE;Avenida;V.R.H. DE LA TORRE;Sheyda Florindez
BK 55 KIOSKO CC LA RAMBLA;LIMA;SAN BORJA;Avenida;CARPACCIO ;Ereni Valdivia
BK 57 REPSOL PRECURSORES;LIMA;SANTIAGO DE SURCO;Avenida;PRIMAVERA;Ereni Valdivia
BK 58 PLAZA LIMA NORTE;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Ereni Valdivia
BK 59 CHACARILLA - BREA Y PARIÑAS;LIMA;SANTIAGO DE SURCO;Avenida;CAMINOS DEL INCA ;Ereni Valdivia
BK 60 REAL PZA. CUSCO;CUSCO;CUSCO;Avenida;COLLASUYO;Sheyda Florindez
BK 61 KIOSCO PZA. LIMA NORTE;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Ereni Valdivia
BK 62 KIOSCO REAL PZA. PIURA;PIURA;PIURA;Avenida;SANCHEZ CERRO;Sheyda Florindez
BK 63 KIOSKO C.C. REAL PLAZA CUSCO;CUSCO;CUSCO;Avenida;COLLASUYO;Sheyda Florindez
BK 64 C.C. SALAVERRY;LIMA;JESUS MARIA;Avenida;GRAL. FELIPE SALAVERRY;Ereni Valdivia
BK 65 KIOSKO PLAZA LIMA SUR;LIMA;CHORRILLOS;Avenida;PROL.PASEO D LA REPUBLICA;Ereni Valdivia
BK 66 C.C. LA RAMBLA BREÑA;LIMA;BREÑA;Avenida;BRASIL;Ereni Valdivia
BK 67 KIOSKO RAMBLA BRASIL;LIMA;BREÑA;Avenida;BRASIL;Ereni Valdivia
BK 70 MALL DEL SUR ;LIMA;SAN JUAN DE MIRAFLORES;Avenida;PEDRO MIOTA ;Ereni Valdivia
BK 71 KIOSKO MALL DEL SUR;LIMA;SAN JUAN DE MIRAFLORES;Avenida;PEDRO MIOTA ;Ereni Valdivia
BK 72 GARDENIAS;LIMA;SANTIAGO DE SURCO;Avenida;ALFREDO BENAVIDES;Ereni Valdivia
BK 73 TRUJILLO;TRUJILLO;TRUJILLO;Avenida;FÁTIMA;Sheyda Florindez
BK 75 PURUCHUCO;LIMA;ATE;Avenida;NICOLAS AYLLON;Ereni Valdivia
BK76 KIOSKO PURUCHUCO;LIMA;ATE;Avenida;NICOLAS AYLLON;Ereni Valdivia
