Referencia;Provincia;Distrito;TipoVia;NombreVia;AASS;Lat;Lng
TELD 13  BOLIVAR /GRIFO ABA SINGER;LIMA;PUEBLO LIBRE;Avenida;SIMON BOLIVAR;Katherine Gutierrez;-12.071564;-77.072304
TELD 14 LA MERCED;LIMA;MIRAFLORES;Avenida;ALFREDO BENAVIDES;Katherine Gutierrez;-12.127281;-77.011195
TELD 15 OVALO LARCO, TRUJILLO;TRUJILLO;TRUJILLO;Avenida;VICTOR LARCO ;Sheyda Florindez;-8.116337;-79.031470
TELD 16 MALAGUE�A;LIMA;SAN LUIS;Avenida;CANAD�;Yeisll Diaz;-12.073646;-76.994101
TELD 18 TOTTUS GUIPOR;LIMA;LOS OLIVOS;Avenida;MENDIOLA, ALFREDO ;Paola Mija;-11.952900;-77.070564
TELD 19 CHORRILLOS;LIMA;CHORRILLOS;Avenida;DEFENSORES DEL MORRO;Katherine Gutierrez;-12.184379;-77.007514
TELD 20 ANTUNEZ DE MAYOLO;LIMA;LOS OLIVOS;Avenida;SANTIA. ANTUNEZ DE MAYOLO ;Paola Mija;-11.991672;-77.070911
TELD 22 AREQUIPA;LIMA;LIMA;Jiron;CABO TEODORO C�RDENAS;Yeisll Diaz;-12.045981;-77.030591
TELD 24 LA MOLINA;LIMA;LA MOLINA;Avenida;7;Mariaelena Quiroz;-12.082439;-76.935298
TELD 025 VENEZUELA;LIMA;BRE�A;Avenida;VENEZUELA;Mariaelena Quiroz;-12.115467;-76.992090
TELD 26 SAN JUAN ;LIMA;SAN JUAN DE MIRAFLORES;Sin tipo;SAN JUAN;Yeisll Diaz;-12.162858;-76.963519
TELD 27 TOMAS VALLE;CALLAO;CALLAO;Avenida;TOM�S VALLE ;Mariaelena Quiroz;-11.949669;-77.128814
TELD 28 SAN CARLOS;LIMA;SAN JUAN DE LURIGANCHO;Avenida;SAN CARLOS ;Yeisll Diaz;-11.983541;-77.009282
TELD 29 JARDINES;LIMA;SAN JUAN DE LURIGANCHO;Avenida;PROCERES DE LA INDEPENDENCIA;Yeisll Diaz;-11.982100;-77.005708
TEL PD30 RP PURUCHUCO;LIMA;ATE;Avenida;NICOLAS AYLLON;Yeisll Diaz;-12.064047;-76.989100
TEL 1 ESPINAR ;LIMA;MIRAFLORES;Calle;2 DE MAYO;Katherine Gutierrez;-12.117998;-77.030296
TEL 2 BENAVIDES;LIMA;SANTIAGO DE SURCO;Calle;ALDABAS ;Yeisll Diaz;-12.127488;-76.982840
TEL 3 CAMACHO;LIMA;LA MOLINA;Avenida;JAVIER PRADO ESTE;Mariaelena Quiroz;-12.065807;-76.942624
TEL 5 LIMA;LIMA;LIMA;Avenida;NICOLAS DE PIEROLA;Yeisll Diaz;-12.025203;-76.893734
TEL 6 SAN MIGUEL;LIMA;SAN MIGUEL;Avenida;LA MARINA;Mariaelena Quiroz;-12.072912;-77.103178
TEL 7 SAN ISIDRO;LIMA;SAN ISIDRO;Avenida;DOS DE MAYO;Yeisll Diaz;-12.092751;-77.048721
TEL 9 LA MOLINA;LIMA;LA MOLINA;Avenida;RA�L FERRERO ;Mariaelena Quiroz;-12.077983;-76.917284
TEL 12 CANAD�;LIMA;LA VICTORIA;Avenida;CANADA;Yeisll Diaz;-12.084697;-77.009278
TEL 13 SUCRE;LIMA;PUEBLO LIBRE;Avenida;BOLIVAR;Katherine Gutierrez;-12.073556;-77.055907
TEL 14 JOCKEY PLAZA;LIMA;SANTIAGO DE SURCO;Avenida;JAVIER PRADO ESTE ;Yeisll Diaz;-12.084708;-76.980210
TEL 15 ARMENDARIZ;LIMA;MIRAFLORES;Avenida;ARMENDARIZ;Katherine Gutierrez;-12.133142;-77.027669
TEL 16 JOCKEY ;LIMA;SANTIAGO DE SURCO;Avenida;JAVIER PRADO ESTE ;Yeisll Diaz;-12.084708;-76.980210
TEL 17 SANTA ANITA;LIMA;SANTA ANITA;Calle;LAS ALONDRAS;Yeisll Diaz;-12.049415;-76.964576
TEL 18 SAGA;LIMA;SAN ISIDRO;Avenida;LAS BEGONIAS;Yeisll Diaz;-12.098921;-77.034644
TEL 19 LARCO;LIMA;MIRAFLORES;Avenida;JOSE A. LARCO;Katherine Gutierrez;-12.120621;-77.029499
TEL 20 LIMATAMBO;LIMA;SAN BORJA;Avenida;ANGAMOS ESTE;Yeisll Diaz;-12.111568;-76.998706
TEL 21 LARCO MAR;LIMA;MIRAFLORES;Avenida;MALECON DE LA RESERVA;Katherine Gutierrez;-12.120621;-77.029499
TEL 23 FC MEGA PLAZA;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA ;Paola Mija;-12.006404;-77.061492
TEL 24 RBD MEGA PLAZA;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA ;Paola Mija;-12.006404;-77.061492
TEL 25 C�NEPA;LIMA;LA VICTORIA;Jiron;ANTONIO BAZO ;Yeisll Diaz;-12.065489;-77.014310
TEL 26 ROYAL PLAZA;LIMA;INDEPENDENCIA;Avenida;CARLOS IZAGUIRRE;Paola Mija;-11.990023;-77.062036
TEL 28 CHORRILLOS;LIMA;CHORRILLOS;Avenida;PASEO DE LA REPUBLICA;Katherine Gutierrez;-12.176554;-77.011857
TEL 29 LIMA SUR CHORRILLOS;LIMA;CHORRILLOS;PROLG.;PASEO DE LA REPUBLICA;Katherine Gutierrez;-12.170948;-77.021260
TEL 30 REAL PLAZA CHICLAYO ;CHICLAYO;CHICLAYO;Avenida;MURO Y DIEGO FERRE - MIGUEL DE CERVANTES;Sheyda Florindez;-6.771615;-79.838718
TEL 33 COMAS;LIMA;COMAS;Avenida;TUPAC AMARU ;Paola Mija;-11.911431;-77.038458
TEL 35 REAL PLAZA TRUJILLO;TRUJILLO;TRUJILLO;Avenida;CESAR VALLEJO;Sheyda Florindez;-8.107517;-79.015222
TEL 36 MALL PLAZA;TRUJILLO;TRUJILLO;Avenida;AMERICA OESTE;Sheyda Florindez;-8.103001;-79.045470
TEL 37 ATOCONGO;LIMA;SAN JUAN DE MIRAFLORES;Avenida;CIRCUNVALACION ;Yeisll Diaz;-12.148756;-76.981537
TEL 39 HUANCAYO;HUANCAYO;HUANCAYO;Avenida;FERROCARRIL C.C. REAL PLAZA;Sheyda Florindez;-12.068098;-75.210095
TEL 40 ICA;ICA;ICA;Avenida;SAN MARTIN ;Sheyda Florindez;-13.412609;-76.123167
